gen,max_sectors_kb,nr_requests,read_ahead_kb,nomerges,scheduler,rq_affinity,read_throughput,read_latency,is_pareto,throughput,latency
1.0,361,45,2,2,2,2,788611.0,1073152.0,0.0,788.611,1.073152
1.0,3065,16,5,2,2,1,788489.0,749568.0,0.0,788.489,0.749568
1.0,2641,101,4,1,1,1,783294.0,634880.0,0.0,783.294,0.63488
1.0,3915,127,1,2,2,2,782305.0,618496.0,0.0,782.305,0.618496
1.0,791,101,4,2,0,0,784122.0,1171456.0,0.0,784.122,1.171456
1.0,154,75,3,2,0,2,782275.0,634880.0,0.0,782.275,0.63488
1.0,201,62,3,1,1,1,780518.0,626688.0,0.0,780.518,0.626688
1.0,1250,98,2,2,0,0,780162.0,618496.0,0.0,780.162,0.618496
1.0,3798,29,1,2,2,2,781118.0,667648.0,0.0,781.118,0.667648
1.0,3379,74,2,2,2,2,781727.0,1089536.0,0.0,781.727,1.089536
1.0,3568,21,5,1,2,2,779032.0,618496.0,0.0,779.032,0.618496
1.0,3136,18,0,1,2,0,779111.0,1892352.0,0.0,779.111,1.892352
1.0,2405,104,1,0,2,0,777590.0,626688.0,0.0,777.59,0.626688
1.0,3118,53,5,1,0,2,777845.0,634880.0,0.0,777.845,0.63488
1.0,419,106,5,2,1,2,775530.0,618496.0,0.0,775.53,0.618496
1.0,1727,39,1,2,0,2,776455.0,1695744.0,0.0,776.455,1.695744
1.0,3121,15,2,2,0,2,768666.0,618496.0,0.0,768.666,0.618496
1.0,2980,61,2,1,1,1,775130.0,626688.0,0.0,775.13,0.626688
1.0,2488,78,5,0,0,1,756291.0,618496.0,0.0,756.291,0.618496
1.0,4071,49,4,0,1,0,772660.0,921600.0,0.0,772.66,0.9216
1.0,1417,81,2,2,0,2,772375.0,626688.0,0.0,772.375,0.626688
1.0,143,111,3,1,0,1,770593.0,2072576.0,0.0,770.593,2.072576
2.0,2569,78,0,0,0,1,810687.0,468992.0,1.0,810.687,0.468992
2.0,1691,39,0,1,0,1,864965.0,481280.0,1.0,864.965,0.48128
2.0,2859,46,6,2,0,1,947126.0,493568.0,1.0,947.126,0.493568
2.0,844,51,0,0,1,1,1011256.0,509952.0,1.0,1011.256,0.509952
2.0,3119,83,0,1,0,0,814999.0,481280.0,0.0,814.999,0.48128
2.0,2883,46,2,2,0,1,905764.0,577536.0,0.0,905.764,0.577536
2.0,3824,108,3,0,0,1,932474.0,593920.0,0.0,932.474,0.59392
2.0,2026,51,5,1,0,1,822155.0,569344.0,0.0,822.155,0.569344
2.0,1226,37,4,0,1,0,915599.0,585728.0,0.0,915.599,0.585728
2.0,3936,48,4,2,2,0,748225.0,536576.0,0.0,748.225,0.536576
2.0,919,9,2,2,2,1,710440.0,501760.0,0.0,710.44,0.50176
2.0,1922,30,4,0,2,1,931878.0,602112.0,0.0,931.878,0.602112
2.0,2916,20,2,1,0,1,925831.0,593920.0,0.0,925.831,0.59392
2.0,241,42,6,1,2,2,716042.0,536576.0,0.0,716.042,0.536576
2.0,812,52,0,1,1,1,874218.0,593920.0,0.0,874.218,0.59392
2.0,1982,21,4,0,2,1,910447.0,937984.0,0.0,910.447,0.937984
2.0,1250,2,6,2,0,0,645206.0,544768.0,0.0,645.206,0.544768
2.0,311,53,0,1,0,2,864916.0,602112.0,0.0,864.916,0.602112
2.0,3884,123,0,1,2,1,860159.0,593920.0,0.0,860.159,0.59392
2.0,2569,34,0,0,0,1,871664.0,962560.0,0.0,871.664,0.96256
