exp,throughput,latency
seq_write,538128.0,21889024.0
seq_write,494052.0,20840448.0
seq_write,549800.0,16908288.0
seq_write,506440.0,20316160.0
seq_write,483427.0,60555264.0
seq_write,516165.0,17694720.0
seq_write,473694.0,17432576.0
seq_write,538416.0,52166656.0
seq_write,535441.0,16908288.0
seq_write,542241.0,17432576.0
seq_write,450536.0,16711680.0
seq_write,505753.0,21102592.0
seq_write,470093.0,60030976.0
seq_write,516391.0,16908288.0
seq_write,483735.0,20316160.0
seq_write,509047.0,61079552.0
seq_write,551643.0,18219008.0
seq_write,466719.0,20840448.0
seq_write,518961.0,21364736.0
seq_write,496310.0,19267584.0
seq_write,528827.0,55312384.0
seq_write,505938.0,20578304.0
seq_write,508371.0,16908288.0
seq_write,546404.0,37486592.0
seq_write,546057.0,19791872.0
seq_write,491328.0,19005440.0
seq_write,513325.0,19791872.0
seq_write,515930.0,22151168.0
seq_write,467308.0,55836672.0
seq_write,492005.0,17432576.0
seq_write,501255.0,20578304.0
seq_write,481782.0,73924608.0
seq_write,564558.0,18219008.0
seq_write,493673.0,27394048.0
seq_write,485859.0,32374784.0
seq_write,585294.0,26083328.0
seq_write,459558.0,19005440.0
seq_write,550012.0,18481152.0
seq_write,571749.0,17956864.0
seq_write,455412.0,39059456.0
seq_write,505569.0,20578304.0
seq_write,484742.0,16908288.0
seq_write,518815.0,16908288.0
seq_write,575090.0,21364736.0
seq_write,535307.0,19791872.0
seq_write,539339.0,17956864.0
seq_write,491358.0,38010880.0
seq_write,481906.0,19791872.0
seq_write,576054.0,18219008.0
seq_write,492068.0,27131904.0
seq_write,502895.0,21102592.0
seq_write,512123.0,56885248.0
seq_write,498907.0,19005440.0
seq_write,472558.0,22413312.0
seq_write,519563.0,38010880.0
seq_write,489853.0,19005440.0
seq_write,549174.0,21626880.0
seq_write,496621.0,20578304.0
seq_write,503331.0,17170432.0
seq_write,516253.0,51642368.0
seq_write,477646.0,49545216.0
seq_write,524034.0,16908288.0
seq_write,485910.0,58982400.0
seq_write,544496.0,18219008.0
seq_write,542017.0,20316160.0
seq_write,557859.0,18219008.0
seq_write,560779.0,17694720.0
seq_write,546889.0,20840448.0
seq_write,513564.0,18481152.0
seq_write,541122.0,65798144.0
seq_write,501299.0,20840448.0
seq_write,500492.0,16908288.0
seq_write,512912.0,17170432.0
seq_write,466933.0,19791872.0
seq_write,538353.0,20054016.0
seq_write,544631.0,91750400.0
seq_write,558291.0,18481152.0
seq_write,482613.0,69730304.0
seq_write,528384.0,16908288.0
seq_write,583230.0,18481152.0
seq_write,560458.0,20316160.0
seq_write,588249.0,18219008.0
seq_write,487849.0,65798144.0
seq_write,480274.0,30015488.0
seq_write,512270.0,21102592.0
seq_write,535328.0,64225280.0
seq_write,507010.0,17170432.0
seq_write,539766.0,20578304.0
seq_write,562156.0,16908288.0
seq_write,550888.0,17694720.0
seq_write,471505.0,68681728.0
seq_write,567140.0,18219008.0
seq_write,556469.0,38535168.0
seq_write,499005.0,20840448.0
seq_write,497948.0,21364736.0
seq_write,577950.0,18219008.0
seq_write,514565.0,19005440.0
seq_write,541672.0,54788096.0
seq_write,500410.0,17170432.0
seq_write,582840.0,18219008.0
seq_write,487156.0,63176704.0
seq_write,538928.0,18219008.0
seq_write,514917.0,16908288.0
seq_write,590301.0,18219008.0
seq_write,574728.0,17694720.0
seq_write,528466.0,42205184.0
seq_write,499360.0,20578304.0
seq_write,520607.0,66846720.0
seq_write,514436.0,19267584.0
seq_write,484668.0,21889024.0
seq_write,509666.0,21102592.0
seq_write,460003.0,19267584.0
seq_write,388676.0,20578304.0
seq_write,473223.0,21626880.0
seq_write,491044.0,20054016.0
seq_write,496125.0,19005440.0
seq_write,562244.0,17956864.0
seq_write,488757.0,17170432.0
seq_write,563932.0,18219008.0
seq_write,455853.0,20840448.0
seq_write,481303.0,21364736.0
seq_write,495865.0,52690944.0
seq_write,568698.0,18219008.0
seq_write,474861.0,74973184.0
seq_write,502948.0,16908288.0
seq_write,551519.0,17956864.0
seq_write,470418.0,20840448.0
seq_write,574845.0,18219008.0
seq_write,545276.0,17432576.0
seq_write,488802.0,71827456.0
seq_write,483463.0,69730304.0
seq_write,474808.0,69730304.0
seq_write,476042.0,20054016.0
seq_write,517220.0,16908288.0
seq_write,500839.0,20578304.0
seq_write,530648.0,17170432.0
seq_write,487308.0,21102592.0
seq_write,483540.0,58982400.0
seq_write,492912.0,20054016.0
seq_write,495106.0,44302336.0
seq_write,513731.0,20316160.0
seq_write,515417.0,20840448.0
seq_write,509219.0,17170432.0
seq_write,517365.0,19267584.0
seq_write,510841.0,21102592.0
seq_write,466169.0,57933824.0
seq_write,543975.0,17694720.0
seq_write,462441.0,61079552.0
seq_write,490612.0,20578304.0
seq_write,491813.0,69730304.0
seq_write,557558.0,17694720.0
seq_write,537597.0,20316160.0
seq_write,496783.0,19005440.0
seq_write,470276.0,40632320.0
seq_write,455338.0,72876032.0
seq_write,511486.0,72876032.0
seq_write,510913.0,20316160.0
seq_write,515696.0,19267584.0
seq_write,512726.0,20054016.0
seq_write,515665.0,21889024.0
seq_write,504164.0,66322432.0
seq_write,490951.0,17170432.0
seq_write,501784.0,33161216.0
seq_write,497282.0,62652416.0
seq_write,498834.0,16908288.0
seq_write,476174.0,32899072.0
seq_write,492842.0,17170432.0
seq_write,565582.0,18219008.0
seq_write,546610.0,21102592.0
seq_write,548211.0,17956864.0
seq_write,493944.0,65273856.0
seq_write,460192.0,70778880.0
seq_write,450849.0,69730304.0
seq_write,554739.0,17694720.0
seq_write,497616.0,20316160.0
seq_write,449793.0,69730304.0
seq_write,465020.0,70778880.0
seq_write,470392.0,70778880.0
seq_write,527884.0,53215232.0
seq_write,560833.0,17694720.0
seq_write,503212.0,69730304.0
seq_write,512143.0,30277632.0
seq_write,492524.0,16908288.0
seq_write,582476.0,18219008.0
seq_write,497686.0,62128128.0
seq_write,490535.0,17170432.0
seq_write,491017.0,45875200.0
seq_write,556436.0,21102592.0
seq_write,596725.0,18481152.0
seq_write,557691.0,18219008.0
seq_write,477175.0,20840448.0
seq_write,550236.0,17694720.0
seq_write,487854.0,60555264.0
seq_write,448813.0,17170432.0
seq_write,540959.0,51642368.0
seq_write,486893.0,21102592.0
seq_write,482732.0,17170432.0
seq_write,529203.0,20578304.0
seq_write,482161.0,32636928.0
seq_write,459514.0,22413312.0
seq_write,493436.0,38535168.0
seq_write,533558.0,53739520.0
seq_write,550207.0,20054016.0
seq_write,490925.0,16908288.0
seq_write,555366.0,18481152.0
seq_write,550577.0,20054016.0
seq_write,556315.0,18219008.0
seq_write,481754.0,51118080.0
seq_write,575982.0,20578304.0
seq_write,523443.0,55836672.0
seq_write,534573.0,17432576.0
seq_write,501055.0,22151168.0
seq_write,508230.0,17694720.0
seq_write,516587.0,17170432.0
seq_write,523934.0,32899072.0
seq_write,436573.0,69730304.0
seq_write,545810.0,20316160.0
seq_write,487929.0,71827456.0
seq_write,531401.0,21102592.0
seq_write,500022.0,19267584.0
seq_write,489080.0,20316160.0
seq_write,473484.0,29229056.0
seq_write,497817.0,69730304.0
seq_write,536517.0,52166656.0
seq_write,500107.0,18481152.0
seq_write,491296.0,52166656.0
seq_write,502539.0,17170432.0
seq_write,468245.0,69730304.0
seq_write,507495.0,71827456.0
seq_write,515516.0,27656192.0
seq_write,465607.0,67633152.0
seq_write,466281.0,72876032.0
seq_write,462326.0,60555264.0
seq_write,487359.0,19005440.0
seq_write,545912.0,20316160.0
seq_write,486806.0,21102592.0
seq_write,555664.0,17694720.0
seq_write,500201.0,20578304.0
seq_write,561716.0,39059456.0
seq_write,503206.0,17170432.0
seq_write,472822.0,70778880.0
seq_write,599108.0,18219008.0
seq_write,531660.0,17170432.0
seq_write,563546.0,18219008.0
seq_write,541734.0,17956864.0
seq_write,519056.0,17170432.0
seq_write,521304.0,67633152.0
seq_write,501231.0,82313216.0
seq_write,461811.0,17170432.0
seq_write,585399.0,18219008.0
seq_write,478051.0,21626880.0
seq_write,547171.0,17956864.0
seq_write,475329.0,19005440.0
seq_write,533046.0,18743296.0
seq_write,477807.0,45350912.0
seq_write,546024.0,23199744.0
seq_write,517296.0,17170432.0
seq_write,504946.0,16908288.0
seq_write,518596.0,16711680.0
seq_write,520230.0,20578304.0
seq_write,490440.0,16580608.0
seq_write,524681.0,17170432.0
seq_write,461782.0,63176704.0
seq_write,493280.0,60555264.0
seq_write,501216.0,19791872.0
seq_write,475904.0,21102592.0
seq_write,476657.0,19529728.0
seq_write,552350.0,17956864.0
seq_write,481580.0,16711680.0
seq_write,472686.0,62652416.0
seq_write,491893.0,20840448.0
seq_write,524882.0,36962304.0
seq_write,492593.0,21102592.0
seq_write,483965.0,20316160.0
seq_write,566812.0,17432576.0
seq_write,481911.0,20578304.0
seq_write,514655.0,20054016.0
seq_write,508823.0,16711680.0
seq_write,548106.0,20840448.0
seq_write,538913.0,36438016.0
seq_write,514967.0,16908288.0
seq_write,553220.0,17694720.0
seq_write,511128.0,31064064.0
seq_write,562024.0,17956864.0
seq_write,501658.0,19791872.0
seq_write,492287.0,65273856.0
seq_write,498182.0,20840448.0
seq_write,506967.0,49545216.0
seq_write,477044.0,21889024.0
seq_write,562711.0,17694720.0
seq_write,573967.0,17432576.0
seq_write,506888.0,21102592.0
seq_write,538313.0,20840448.0
seq_write,484338.0,53739520.0
seq_write,477536.0,57933824.0
seq_write,534478.0,20578304.0
seq_write,481453.0,18743296.0
seq_write,558373.0,17694720.0
seq_write,487075.0,20840448.0
seq_write,471877.0,16711680.0
seq_write,570142.0,17956864.0
