exp,throughput,latency
seq_read,791507.0,2023424.0
seq_read,880115.0,675840.0
seq_read,799935.0,684032.0
seq_read,854039.0,1220608.0
seq_read,880474.0,1044480.0
seq_read,783201.0,700416.0
seq_read,763077.0,1794048.0
seq_read,1055444.0,1028096.0
seq_read,888715.0,987136.0
seq_read,779126.0,954368.0
seq_read,670037.0,1646592.0
seq_read,706568.0,2023424.0
seq_read,893683.0,1728512.0
seq_read,764363.0,659456.0
seq_read,760157.0,651264.0
seq_read,744222.0,2113536.0
seq_read,811709.0,2310144.0
seq_read,748491.0,937984.0
seq_read,775668.0,1036288.0
seq_read,774589.0,1089536.0
seq_read,768056.0,610304.0
seq_read,927450.0,1794048.0
seq_read,745012.0,782336.0
seq_read,922642.0,765952.0
seq_read,759389.0,2146304.0
seq_read,919604.0,1138688.0
seq_read,850557.0,700416.0
seq_read,719863.0,1761280.0
seq_read,907706.0,1138688.0
seq_read,744385.0,1003520.0
seq_read,710778.0,1003520.0
seq_read,729780.0,2023424.0
seq_read,763941.0,970752.0
seq_read,858825.0,839680.0
seq_read,728405.0,3522560.0
seq_read,828009.0,1531904.0
seq_read,734871.0,2342912.0
seq_read,758155.0,1482752.0
seq_read,747076.0,489472.0
seq_read,691400.0,2146304.0
seq_read,738376.0,659456.0
seq_read,789962.0,1003520.0
seq_read,780116.0,1859584.0
seq_read,775365.0,593920.0
seq_read,811568.0,929792.0
seq_read,690543.0,1810432.0
seq_read,770589.0,1646592.0
seq_read,752682.0,2342912.0
seq_read,731644.0,1286144.0
seq_read,722840.0,1794048.0
seq_read,733248.0,1351680.0
seq_read,789407.0,2244608.0
seq_read,752648.0,1073152.0
seq_read,735728.0,987136.0
seq_read,740245.0,1302528.0
seq_read,853635.0,921600.0
seq_read,802404.0,1036288.0
seq_read,908754.0,1028096.0
seq_read,626608.0,2342912.0
seq_read,760015.0,724992.0
seq_read,808678.0,2146304.0
seq_read,736443.0,2277376.0
seq_read,765754.0,1089536.0
seq_read,685176.0,2146304.0
seq_read,757979.0,716800.0
seq_read,776272.0,1155072.0
seq_read,860837.0,1089536.0
seq_read,844630.0,782336.0
seq_read,1036099.0,913408.0
seq_read,709063.0,2244608.0
seq_read,878363.0,684032.0
seq_read,830052.0,1318912.0
seq_read,734940.0,1794048.0
seq_read,885000.0,970752.0
seq_read,719299.0,2039808.0
seq_read,786964.0,1056768.0
seq_read,663701.0,1187840.0
seq_read,750254.0,1253376.0
seq_read,748320.0,2736128.0
seq_read,754738.0,872448.0
seq_read,775739.0,757760.0
seq_read,1056769.0,782336.0
seq_read,856966.0,978944.0
seq_read,851950.0,2244608.0
seq_read,812735.0,954368.0
seq_read,721739.0,2375680.0
seq_read,799750.0,1155072.0
seq_read,896858.0,618496.0
seq_read,795256.0,610304.0
seq_read,897799.0,675840.0
seq_read,772175.0,577536.0
seq_read,755806.0,765952.0
seq_read,888793.0,888832.0
seq_read,919464.0,749568.0
seq_read,846779.0,757760.0
seq_read,898487.0,634880.0
seq_read,750819.0,847872.0
seq_read,799942.0,561152.0
seq_read,783314.0,1957888.0
seq_read,752871.0,897024.0
seq_read,952462.0,634880.0
seq_read,723733.0,2113536.0
seq_read,724730.0,1204224.0
seq_read,821672.0,593920.0
seq_read,780158.0,1368064.0
seq_read,1028136.0,741376.0
seq_read,780687.0,1089536.0
seq_read,669358.0,1515520.0
seq_read,724874.0,937984.0
seq_read,753850.0,913408.0
seq_read,737228.0,1318912.0
seq_read,752726.0,1335296.0
seq_read,719064.0,905216.0
seq_read,891280.0,1990656.0
seq_read,874103.0,692224.0
seq_read,867793.0,634880.0
seq_read,851723.0,1073152.0
seq_read,760529.0,1056768.0
seq_read,795705.0,577536.0
seq_read,819820.0,864256.0
seq_read,882813.0,1941504.0
seq_read,841514.0,921600.0
seq_read,752158.0,864256.0
seq_read,763707.0,602112.0
seq_read,850992.0,831488.0
seq_read,800553.0,724992.0
seq_read,891340.0,643072.0
seq_read,772226.0,1187840.0
seq_read,869631.0,626688.0
seq_read,881813.0,995328.0
seq_read,794075.0,593920.0
seq_read,899107.0,839680.0
seq_read,930288.0,667648.0
seq_read,742943.0,692224.0
seq_read,762671.0,602112.0
seq_read,864807.0,995328.0
seq_read,739938.0,577536.0
seq_read,832450.0,577536.0
seq_read,711817.0,970752.0
seq_read,676242.0,921600.0
seq_read,741112.0,561152.0
seq_read,743577.0,2007040.0
seq_read,777163.0,610304.0
seq_read,826077.0,757760.0
seq_read,857550.0,2072576.0
seq_read,808427.0,1105920.0
seq_read,866792.0,765952.0
seq_read,752074.0,1597440.0
seq_read,771373.0,692224.0
seq_read,731126.0,1302528.0
seq_read,864605.0,610304.0
seq_read,823581.0,1028096.0
seq_read,811102.0,593920.0
seq_read,780255.0,1253376.0
seq_read,740900.0,1531904.0
seq_read,876748.0,888832.0
seq_read,838715.0,667648.0
seq_read,872753.0,1548288.0
seq_read,791332.0,618496.0
seq_read,1016000.0,790528.0
seq_read,827403.0,856064.0
seq_read,818652.0,946176.0
seq_read,730872.0,1597440.0
seq_read,879503.0,724992.0
seq_read,741819.0,847872.0
seq_read,781058.0,1597440.0
seq_read,763930.0,749568.0
seq_read,928142.0,700416.0
seq_read,798089.0,1515520.0
seq_read,754081.0,839680.0
seq_read,960418.0,749568.0
seq_read,978163.0,2441216.0
seq_read,889259.0,774144.0
seq_read,715802.0,1564672.0
seq_read,810083.0,1187840.0
seq_read,737609.0,765952.0
seq_read,471365.0,2637824.0
seq_read,836743.0,880640.0
seq_read,749007.0,1892352.0
seq_read,714420.0,1531904.0
seq_read,783710.0,602112.0
seq_read,776182.0,1073152.0
seq_read,871865.0,1908736.0
seq_read,650719.0,2506752.0
seq_read,680949.0,2072576.0
seq_read,825607.0,1531904.0
seq_read,855591.0,2211840.0
seq_read,777952.0,1019904.0
seq_read,797506.0,1073152.0
seq_read,957090.0,1019904.0
seq_read,860098.0,724992.0
seq_read,702516.0,1011712.0
seq_read,861954.0,2088960.0
seq_read,754635.0,2072576.0
seq_read,722223.0,798720.0
seq_read,734216.0,1302528.0
seq_read,835747.0,1056768.0
seq_read,1045867.0,2056192.0
seq_read,747621.0,1003520.0
seq_read,642322.0,970752.0
seq_read,756591.0,2834432.0
seq_read,753268.0,1155072.0
seq_read,849390.0,872448.0
seq_read,675422.0,618496.0
seq_read,735742.0,2375680.0
seq_read,834945.0,643072.0
seq_read,850240.0,577536.0
seq_read,725959.0,1400832.0
seq_read,754771.0,2244608.0
seq_read,693955.0,2088960.0
seq_read,1070688.0,692224.0
seq_read,717099.0,962560.0
seq_read,727345.0,2023424.0
seq_read,712322.0,995328.0
seq_read,698733.0,995328.0
seq_read,832165.0,1843200.0
seq_read,785700.0,2072576.0
seq_read,728421.0,987136.0
seq_read,727884.0,2211840.0
seq_read,695244.0,2244608.0
seq_read,697636.0,11337728.0
seq_read,771753.0,905216.0
seq_read,749315.0,1122304.0
seq_read,850080.0,1011712.0
seq_read,852453.0,1036288.0
seq_read,762841.0,2146304.0
seq_read,926260.0,2007040.0
seq_read,702540.0,2056192.0
seq_read,837389.0,2179072.0
seq_read,821902.0,2039808.0
seq_read,997671.0,1597440.0
seq_read,729903.0,2146304.0
seq_read,786367.0,2007040.0
seq_read,741572.0,2244608.0
seq_read,798278.0,2113536.0
seq_read,835752.0,643072.0
seq_read,769870.0,1089536.0
seq_read,760955.0,1138688.0
seq_read,817235.0,1089536.0
seq_read,884207.0,716800.0
seq_read,880605.0,1269760.0
seq_read,762247.0,1056768.0
seq_read,705495.0,634880.0
seq_read,684927.0,1761280.0
seq_read,955238.0,1089536.0
seq_read,727941.0,1744896.0
seq_read,787355.0,1056768.0
seq_read,766721.0,2113536.0
seq_read,882016.0,741376.0
seq_read,802007.0,823296.0
seq_read,739552.0,1564672.0
seq_read,764337.0,1400832.0
seq_read,1034171.0,2113536.0
seq_read,1049999.0,643072.0
seq_read,757587.0,1318912.0
seq_read,1004270.0,2375680.0
seq_read,790443.0,2244608.0
seq_read,786519.0,782336.0
seq_read,789641.0,1089536.0
seq_read,767931.0,518144.0
seq_read,757843.0,970752.0
seq_read,726515.0,2244608.0
seq_read,769864.0,659456.0
seq_read,956995.0,995328.0
seq_read,878632.0,1908736.0
seq_read,874163.0,1044480.0
seq_read,886540.0,823296.0
seq_read,749254.0,1581056.0
seq_read,772698.0,1531904.0
seq_read,774536.0,716800.0
seq_read,798009.0,1036288.0
seq_read,744872.0,749568.0
seq_read,852735.0,716800.0
seq_read,875709.0,585728.0
