gen,max_sectors_kb,nr_requests,read_ahead_kb,nomerges,scheduler,rq_affinity,write_throughput,write_latency,is_pareto,throughput,latency
1.0,526,126,0,0,0,1,403893.0,62128128.0,0.0,403.893,62.128128
1.0,3774,89,5,0,0,0,415299.0,73924608.0,0.0,415.299,73.924608
1.0,2532,67,4,0,0,0,392119.0,60030976.0,0.0,392.119,60.030976
1.0,2463,126,0,1,0,0,397290.0,60555264.0,0.0,397.29,60.555264
1.0,221,1,4,0,0,1,407313.0,65273856.0,0.0,407.313,65.273856
1.0,3147,81,1,0,0,1,408925.0,67633152.0,0.0,408.925,67.633152
1.0,521,65,5,1,0,0,398942.0,62652416.0,0.0,398.942,62.652416
1.0,1149,109,6,2,0,0,411385.0,76021760.0,0.0,411.385,76.02176
1.0,1558,108,2,2,0,2,381851.0,62128128.0,0.0,381.851,62.128128
1.0,3086,65,0,0,0,1,402915.0,66322432.0,0.0,402.915,66.322432
1.0,873,1,4,0,0,1,402316.0,65798144.0,0.0,402.316,65.798144
1.0,458,84,6,2,0,1,408206.0,69730304.0,0.0,408.206,69.730304
1.0,3160,80,1,0,0,2,387886.0,62652416.0,0.0,387.886,62.652416
1.0,548,4,5,1,0,0,398562.0,63176704.0,0.0,398.562,63.176704
1.0,2326,46,4,1,0,0,409586.0,76021760.0,0.0,409.586,76.02176
1.0,1103,107,5,1,0,2,368793.0,62128128.0,0.0,368.793,62.128128
1.0,2187,12,2,1,0,2,401678.0,66846720.0,0.0,401.678,66.84672
1.0,3406,84,0,0,0,1,407038.0,71827456.0,0.0,407.038,71.827456
1.0,3068,64,0,0,0,2,405354.0,69730304.0,0.0,405.354,69.730304
1.0,4096,128,7,3,1,3,372919.0,62652416.0,0.0,372.919,62.652416
1.0,3463,127,4,2,0,0,395664.0,63176704.0,0.0,395.664,63.176704
1.0,2883,19,6,2,0,1,368700.0,63176704.0,0.0,368.7,63.176704
1.0,390,26,4,0,0,0,402300.0,76021760.0,0.0,402.3,76.02176
1.0,2442,83,0,0,0,1,399793.0,68681728.0,0.0,399.793,68.681728
2.0,15,67,0,0,0,0,422043.0,42729472.0,1.0,422.043,42.729472
2.0,4,2,0,0,0,1,432127.0,67633152.0,1.0,432.127,67.633152
2.0,3774,89,5,0,0,0,424692.0,45875200.0,1.0,424.692,45.8752
2.0,715,1,4,0,0,1,432021.0,57933824.0,1.0,432.021,57.933824
2.0,4,63,0,0,0,0,391946.0,42729472.0,0.0,391.946,42.729472
2.0,687,126,4,0,0,1,424018.0,56885248.0,0.0,424.018,56.885248
2.0,3982,122,3,1,0,0,403122.0,54788096.0,0.0,403.122,54.788096
2.0,548,4,5,1,0,0,402065.0,53739520.0,0.0,402.065,53.73952
2.0,113,60,0,0,0,2,424057.0,61079552.0,0.0,424.057,61.079552
2.0,3160,80,4,0,0,2,427494.0,70778880.0,0.0,427.494,70.77888
2.0,647,45,5,1,0,0,382398.0,50069504.0,0.0,382.398,50.069504
2.0,1832,126,2,0,0,0,416907.0,58458112.0,0.0,416.907,58.458112
2.0,2485,79,4,0,0,1,406135.0,57409536.0,0.0,406.135,57.409536
2.0,911,12,0,0,0,2,418660.0,60555264.0,0.0,418.66,60.555264
2.0,20,47,0,0,0,0,407747.0,57933824.0,0.0,407.747,57.933824
2.0,2050,64,3,1,0,1,395842.0,53739520.0,0.0,395.842,53.73952
2.0,1558,108,2,2,0,2,396046.0,56885248.0,0.0,396.046,56.885248
2.0,561,3,0,0,0,0,423231.0,68681728.0,0.0,423.231,68.681728
2.0,2485,78,4,1,0,1,419460.0,67633152.0,0.0,419.46,67.633152
2.0,4042,126,4,0,0,1,408943.0,59506688.0,0.0,408.943,59.506688
2.0,3995,127,3,1,0,0,412430.0,62128128.0,0.0,412.43,62.128128
2.0,3086,65,0,0,0,1,414216.0,62652416.0,0.0,414.216,62.652416
2.0,3618,120,0,0,0,2,407124.0,58458112.0,0.0,407.124,58.458112
2.0,3637,22,0,0,0,0,395413.0,54263808.0,0.0,395.413,54.263808
2.0,2326,49,4,0,0,0,422132.0,83361792.0,0.0,422.132,83.361792
2.0,3423,84,4,0,0,1,420806.0,76021760.0,0.0,420.806,76.02176
2.0,3058,65,0,0,0,1,417131.0,70778880.0,0.0,417.131,70.77888
2.0,2637,1,4,0,0,0,415144.0,68681728.0,0.0,415.144,68.681728
2.0,2579,66,4,0,0,0,418062.0,72876032.0,0.0,418.062,72.876032
2.0,228,63,0,0,0,0,409411.0,62652416.0,0.0,409.411,62.652416
2.0,3722,24,0,0,0,1,411906.0,63700992.0,0.0,411.906,63.700992
2.0,3887,98,5,0,0,2,405356.0,60030976.0,0.0,405.356,60.030976
2.0,1561,126,2,1,0,2,402222.0,58982400.0,0.0,402.222,58.9824
2.0,4,1,0,0,0,0,377966.0,54263808.0,0.0,377.966,54.263808
2.0,667,13,0,0,0,2,418411.0,76021760.0,0.0,418.411,76.02176
2.0,2876,19,6,0,0,1,420349.0,79167488.0,0.0,420.349,79.167488
2.0,2659,45,4,0,0,0,415548.0,71827456.0,0.0,415.548,71.827456
2.0,2532,67,4,0,0,0,413078.0,70778880.0,0.0,413.078,70.77888
2.0,3961,103,4,2,0,2,410609.0,66322432.0,0.0,410.609,66.322432
2.0,2290,9,1,0,0,1,410265.0,64749568.0,0.0,410.265,64.749568
2.0,526,126,0,0,0,1,403893.0,62128128.0,0.0,403.893,62.128128
2.0,280,60,6,0,0,0,400692.0,61079552.0,0.0,400.692,61.079552
2.0,3618,22,0,0,0,2,398511.0,58982400.0,0.0,398.511,58.9824
2.0,3637,24,0,0,0,1,419046.0,81264640.0,0.0,419.046,81.26464
2.0,3774,89,5,0,0,0,415299.0,73924608.0,0.0,415.299,73.924608
2.0,2532,67,4,0,0,0,392119.0,60030976.0,0.0,392.119,60.030976
2.0,1149,109,6,2,0,0,411385.0,76021760.0,0.0,411.385,76.02176
2.0,221,1,4,0,0,1,407313.0,65273856.0,0.0,407.313,65.273856
2.0,3182,46,1,0,0,0,409958.0,71827456.0,0.0,409.958,71.827456
2.0,595,3,0,0,0,0,400240.0,64225280.0,0.0,400.24,64.22528
3.0,15,67,0,0,0,0,422043.0,42729472.0,1.0,422.043,42.729472
3.0,4,2,0,0,0,1,432127.0,67633152.0,1.0,432.127,67.633152
3.0,3774,89,5,0,0,0,424692.0,45875200.0,1.0,424.692,45.8752
3.0,715,1,4,0,0,1,432021.0,57933824.0,1.0,432.021,57.933824
3.0,4,63,0,0,0,0,391946.0,42729472.0,0.0,391.946,42.729472
3.0,687,126,4,0,0,1,424018.0,56885248.0,0.0,424.018,56.885248
3.0,548,4,5,1,0,0,402065.0,53739520.0,0.0,402.065,53.73952
3.0,3666,22,0,0,0,0,408482.0,54788096.0,0.0,408.482,54.788096
3.0,22,5,0,0,0,0,417322.0,55836672.0,0.0,417.322,55.836672
3.0,113,60,0,0,0,2,424057.0,61079552.0,0.0,424.057,61.079552
3.0,3160,80,4,0,0,2,427494.0,70778880.0,0.0,427.494,70.77888
3.0,647,45,5,1,0,0,382398.0,50069504.0,0.0,382.398,50.069504
3.0,911,12,0,0,0,2,418660.0,60555264.0,0.0,418.66,60.555264
3.0,2050,64,3,1,0,1,395842.0,53739520.0,0.0,395.842,53.73952
3.0,3713,89,5,0,0,0,400612.0,54263808.0,0.0,400.612,54.263808
3.0,3982,122,3,1,0,0,403122.0,54788096.0,0.0,403.122,54.788096
3.0,1832,126,2,0,0,0,416907.0,58458112.0,0.0,416.907,58.458112
3.0,2485,79,4,0,0,1,406135.0,57409536.0,0.0,406.135,57.409536
3.0,20,47,0,0,0,0,407747.0,57933824.0,0.0,407.747,57.933824
3.0,561,3,0,0,0,0,423231.0,68681728.0,0.0,423.231,68.681728
3.0,3182,46,3,1,0,0,420527.0,63176704.0,0.0,420.527,63.176704
3.0,4,45,0,0,0,1,424190.0,74973184.0,0.0,424.19,74.973184
3.0,3662,1,1,0,0,0,355073.0,51642368.0,0.0,355.073,51.642368
3.0,3637,22,0,0,0,0,395413.0,54263808.0,0.0,395.413,54.263808
3.0,1558,108,2,2,0,2,396046.0,56885248.0,0.0,396.046,56.885248
3.0,4042,126,4,0,0,1,408943.0,59506688.0,0.0,408.943,59.506688
3.0,2629,46,4,0,0,0,414467.0,61079552.0,0.0,414.467,61.079552
3.0,3618,120,0,0,0,2,407124.0,58458112.0,0.0,407.124,58.458112
3.0,2851,19,6,0,0,0,404036.0,57933824.0,0.0,404.036,57.933824
3.0,2485,78,4,1,0,1,419460.0,67633152.0,0.0,419.46,67.633152
3.0,3411,67,0,0,0,0,417086.0,65273856.0,0.0,417.086,65.273856
3.0,2326,49,4,0,0,0,422132.0,83361792.0,0.0,422.132,83.361792
3.0,3423,84,4,0,0,1,420806.0,76021760.0,0.0,420.806,76.02176
3.0,4,1,0,0,0,0,377966.0,54263808.0,0.0,377.966,54.263808
3.0,3995,127,3,1,0,0,412430.0,62128128.0,0.0,412.43,62.128128
3.0,3086,65,0,0,0,1,414216.0,62652416.0,0.0,414.216,62.652416
3.0,654,1,0,0,0,0,414461.0,63700992.0,0.0,414.461,63.700992
3.0,3887,98,5,0,0,2,405356.0,60030976.0,0.0,405.356,60.030976
3.0,1561,126,2,1,0,2,402222.0,58982400.0,0.0,402.222,58.9824
3.0,687,126,4,0,0,2,395108.0,58458112.0,0.0,395.108,58.458112
3.0,3058,65,0,0,0,1,417131.0,70778880.0,0.0,417.131,70.77888
3.0,2579,66,4,0,0,0,418062.0,72876032.0,0.0,418.062,72.876032
3.0,2485,3,4,0,0,1,417758.0,71827456.0,0.0,417.758,71.827456
3.0,3982,122,1,0,0,0,418832.0,74973184.0,0.0,418.832,74.973184
3.0,2637,1,4,0,0,0,415144.0,68681728.0,0.0,415.144,68.681728
3.0,2876,19,6,0,0,1,420349.0,79167488.0,0.0,420.349,79.167488
3.0,3618,22,0,0,0,2,398511.0,58982400.0,0.0,398.511,58.9824
3.0,3637,24,0,0,0,1,419046.0,81264640.0,0.0,419.046,81.26464
3.0,3722,24,0,0,0,1,411906.0,63700992.0,0.0,411.906,63.700992
3.0,2532,67,4,0,0,0,413078.0,70778880.0,0.0,413.078,70.77888
4.0,15,67,0,0,0,0,422043.0,42729472.0,1.0,422.043,42.729472
4.0,4,2,0,0,0,1,432127.0,67633152.0,1.0,432.127,67.633152
4.0,3774,89,5,0,0,0,424692.0,45875200.0,1.0,424.692,45.8752
4.0,715,1,4,0,0,1,432021.0,57933824.0,1.0,432.021,57.933824
4.0,4079,127,3,1,0,0,404431.0,41156608.0,1.0,404.431,41.156608
4.0,3666,22,0,0,0,0,407583.0,43778048.0,0.0,407.583,43.778048
4.0,687,126,4,0,0,1,424018.0,56885248.0,0.0,424.018,56.885248
4.0,3666,22,0,0,0,0,408482.0,54788096.0,0.0,408.482,54.788096
4.0,22,5,0,0,0,0,417322.0,55836672.0,0.0,417.322,55.836672
4.0,113,60,0,0,0,2,424057.0,61079552.0,0.0,424.057,61.079552
4.0,3160,80,4,0,0,2,427494.0,70778880.0,0.0,427.494,70.77888
4.0,4,63,0,0,0,0,391946.0,42729472.0,0.0,391.946,42.729472
4.0,548,4,5,1,0,0,402065.0,53739520.0,0.0,402.065,53.73952
4.0,911,12,0,0,0,2,418660.0,60555264.0,0.0,418.66,60.555264
4.0,3982,122,3,1,0,0,403122.0,54788096.0,0.0,403.122,54.788096
4.0,1832,126,2,0,0,0,416907.0,58458112.0,0.0,416.907,58.458112
4.0,2485,79,4,0,0,1,406135.0,57409536.0,0.0,406.135,57.409536
4.0,20,47,0,0,0,0,407747.0,57933824.0,0.0,407.747,57.933824
4.0,561,3,0,0,0,0,423231.0,68681728.0,0.0,423.231,68.681728
4.0,3182,46,3,1,0,0,420527.0,63176704.0,0.0,420.527,63.176704
4.0,2997,120,0,0,0,2,422272.0,64749568.0,0.0,422.272,64.749568
4.0,4,45,0,0,0,1,424190.0,74973184.0,0.0,424.19,74.973184
4.0,647,45,5,1,0,0,382398.0,50069504.0,0.0,382.398,50.069504
4.0,647,45,5,1,0,0,380037.0,49545216.0,0.0,380.037,49.545216
4.0,2050,64,3,1,0,1,395842.0,53739520.0,0.0,395.842,53.73952
4.0,3713,89,5,0,0,0,400612.0,54263808.0,0.0,400.612,54.263808
4.0,2629,46,4,0,0,0,414467.0,61079552.0,0.0,414.467,61.079552
4.0,4,63,0,0,0,0,416695.0,62128128.0,0.0,416.695,62.128128
4.0,715,1,4,0,0,1,413187.0,58982400.0,0.0,413.187,58.9824
4.0,3618,120,0,0,0,2,407124.0,58458112.0,0.0,407.124,58.458112
4.0,2851,19,6,0,0,0,404036.0,57933824.0,0.0,404.036,57.933824
4.0,686,49,4,0,0,0,422644.0,68681728.0,0.0,422.644,68.681728
4.0,3411,67,0,0,0,0,417086.0,65273856.0,0.0,417.086,65.273856
4.0,2326,24,4,0,0,0,420954.0,66846720.0,0.0,420.954,66.84672
4.0,2360,46,5,0,0,0,423269.0,86507520.0,0.0,423.269,86.50752
4.0,3662,1,1,0,0,0,355073.0,51642368.0,0.0,355.073,51.642368
4.0,1489,109,4,0,0,2,396615.0,54263808.0,0.0,396.615,54.263808
4.0,3086,65,0,0,0,1,414216.0,62652416.0,0.0,414.216,62.652416
4.0,654,1,0,0,0,0,414461.0,63700992.0,0.0,414.461,63.700992
4.0,3722,49,0,0,0,1,414413.0,63176704.0,0.0,414.413,63.176704
4.0,4042,126,4,0,0,1,408943.0,59506688.0,0.0,408.943,59.506688
4.0,3995,127,3,1,0,0,412430.0,62128128.0,0.0,412.43,62.128128
4.0,561,5,3,1,0,0,407802.0,58982400.0,0.0,407.802,58.9824
4.0,3684,22,0,0,0,0,409259.0,61079552.0,0.0,409.259,61.079552
4.0,2326,49,4,0,0,0,422132.0,83361792.0,0.0,422.132,83.361792
4.0,2485,78,4,1,0,1,419460.0,67633152.0,0.0,419.46,67.633152
4.0,3423,84,4,0,0,1,420806.0,76021760.0,0.0,420.806,76.02176
4.0,2876,19,6,0,0,1,420349.0,79167488.0,0.0,420.349,79.167488
4.0,3637,22,0,0,0,0,395413.0,54263808.0,0.0,395.413,54.263808
4.0,3722,24,0,0,0,1,411906.0,63700992.0,0.0,411.906,63.700992
5.0,15,67,0,0,0,0,422043.0,42729472.0,1.0,422.043,42.729472
5.0,4,2,0,0,0,1,432127.0,67633152.0,1.0,432.127,67.633152
5.0,3774,89,5,0,0,0,424692.0,45875200.0,1.0,424.692,45.8752
5.0,715,1,4,0,0,1,432021.0,57933824.0,1.0,432.021,57.933824
5.0,4079,127,3,1,0,0,404431.0,41156608.0,1.0,404.431,41.156608
5.0,809,64,3,1,0,1,426197.0,50593792.0,1.0,426.197,50.593792
5.0,3666,22,0,0,0,0,407583.0,43778048.0,0.0,407.583,43.778048
5.0,3160,80,4,0,0,2,427494.0,70778880.0,0.0,427.494,70.77888
5.0,2876,19,6,0,0,1,426578.0,68681728.0,0.0,426.578,68.681728
5.0,4,63,0,0,0,0,391946.0,42729472.0,0.0,391.946,42.729472
5.0,687,126,4,0,0,1,424018.0,56885248.0,0.0,424.018,56.885248
5.0,3666,22,0,0,0,0,408482.0,54788096.0,0.0,408.482,54.788096
5.0,113,60,0,0,0,2,424057.0,61079552.0,0.0,424.057,61.079552
5.0,3637,22,0,0,0,0,424526.0,63700992.0,0.0,424.526,63.700992
5.0,136,1,1,0,0,0,418251.0,55836672.0,0.0,418.251,55.836672
5.0,548,4,5,1,0,0,402065.0,53739520.0,0.0,402.065,53.73952
5.0,647,45,5,1,0,0,382398.0,50069504.0,0.0,382.398,50.069504
5.0,647,45,5,1,0,0,380037.0,49545216.0,0.0,380.037,49.545216
5.0,911,12,0,0,0,2,418660.0,60555264.0,0.0,418.66,60.555264
5.0,3982,122,3,1,0,0,403122.0,54788096.0,0.0,403.122,54.788096
5.0,686,119,0,0,0,0,421599.0,61079552.0,0.0,421.599,61.079552
5.0,561,3,0,0,0,0,423231.0,68681728.0,0.0,423.231,68.681728
5.0,2997,120,0,0,0,2,422272.0,64749568.0,0.0,422.272,64.749568
5.0,4,45,0,0,0,1,424190.0,74973184.0,0.0,424.19,74.973184
5.0,22,5,0,0,0,0,417322.0,55836672.0,0.0,417.322,55.836672
5.0,2050,64,3,1,0,1,395842.0,53739520.0,0.0,395.842,53.73952
5.0,3713,89,5,0,0,0,400612.0,54263808.0,0.0,400.612,54.263808
5.0,3662,1,1,0,0,0,355073.0,51642368.0,0.0,355.073,51.642368
5.0,3618,50,4,0,0,2,402741.0,55312384.0,0.0,402.741,55.312384
5.0,3182,46,3,1,0,0,420527.0,63176704.0,0.0,420.527,63.176704
5.0,686,49,4,0,0,0,422644.0,68681728.0,0.0,422.644,68.681728
5.0,2326,24,4,0,0,0,420954.0,66846720.0,0.0,420.954,66.84672
5.0,2360,46,5,0,0,0,423269.0,86507520.0,0.0,423.269,86.50752
5.0,1832,126,2,0,0,0,416907.0,58458112.0,0.0,416.907,58.458112
5.0,2485,79,4,0,0,1,406135.0,57409536.0,0.0,406.135,57.409536
5.0,20,47,0,0,0,0,407747.0,57933824.0,0.0,407.747,57.933824
5.0,1489,109,4,0,0,2,396615.0,54263808.0,0.0,396.615,54.263808
5.0,3411,67,0,0,0,0,417086.0,65273856.0,0.0,417.086,65.273856
5.0,1489,109,4,0,0,0,419797.0,65798144.0,0.0,419.797,65.798144
5.0,2326,49,4,0,0,0,422132.0,83361792.0,0.0,422.132,83.361792
5.0,3423,84,4,0,0,1,420806.0,76021760.0,0.0,420.806,76.02176
5.0,2851,1,6,0,0,0,420778.0,74973184.0,0.0,420.778,74.973184
5.0,715,1,4,0,0,1,420349.0,66846720.0,0.0,420.349,66.84672
5.0,2629,46,4,0,0,0,414467.0,61079552.0,0.0,414.467,61.079552
5.0,4,63,0,0,0,0,416695.0,62128128.0,0.0,416.695,62.128128
5.0,715,1,4,0,0,1,413187.0,58982400.0,0.0,413.187,58.9824
5.0,561,44,5,1,0,0,404923.0,57409536.0,0.0,404.923,57.409536
5.0,3618,120,0,0,0,2,407124.0,58458112.0,0.0,407.124,58.458112
5.0,3637,22,0,0,0,0,395413.0,54263808.0,0.0,395.413,54.263808
